2021-10-10 15:10:55 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (35427ca183b56ce341e2244976766276)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 15:10:153 INFO  BookingPage :27 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 15:10:203 INFO  BookingPage :30 - Getting Days and PricesProxy element for: DefaultElementLocator 'By.xpath: //div[@id = 'price-pin_pin-container']'
2021-10-10 15:10:796 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:664 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (c0f8967238134bccf2fd2e81f18d9076)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:947 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:819 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (9f291a1e5a2e895ebbdfc038803490db)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:959 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (9f291a1e5a2e895ebbdfc038803490db)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 15:10:389 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (9f291a1e5a2e895ebbdfc038803490db)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 15:10:867 INFO  BookingPage :27 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 15:10:891 INFO  BookingPage :30 - Getting Days and Prices[[ChromeDriver: chrome on WINDOWS (9f291a1e5a2e895ebbdfc038803490db)] -> xpath: //div[@id='price-pin_pin-wrapper']]
2021-10-10 15:10:503 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:93 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (4b83df298a3b37b608031c45e1315618)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:253 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (4b83df298a3b37b608031c45e1315618)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 15:10:141 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (4b83df298a3b37b608031c45e1315618)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 15:10:273 INFO  BookingPage :27 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 15:10:305 INFO  BookingPage :30 - Getting Days and Prices[[ChromeDriver: chrome on WINDOWS (4b83df298a3b37b608031c45e1315618)] -> xpath: //div[@id='price-pin_pin-wrapper']]
2021-10-10 15:10:854 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:602 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (4c75ea991ea2c51eaa69a75638364561)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:739 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (4c75ea991ea2c51eaa69a75638364561)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 15:10:147 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (4c75ea991ea2c51eaa69a75638364561)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 15:10:777 INFO  BookingPage :27 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 15:10:801 INFO  BookingPage :30 - Getting Days and Prices[[ChromeDriver: chrome on WINDOWS (4c75ea991ea2c51eaa69a75638364561)] -> xpath: //div[@id='price-pin_pin-wrapper']]
2021-10-10 20:10:50 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 20:10:405 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (2fcd856c00c12aa7dc897c40cb304018)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 20:10:558 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (2fcd856c00c12aa7dc897c40cb304018)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 20:10:723 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (2fcd856c00c12aa7dc897c40cb304018)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 20:10:129 INFO  BookingPage :34 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 20:10:888 INFO  BookingPage :45 - Clicking on Book Online ButtonProxy element for: DefaultElementLocator 'By.xpath: //button[@name='enterbookingflow']//div[contains(@class,'nbf_fancyimg_pms_add_button nbf_fg_pms_button_text nbf_bg_pms_button nbf_fg_pms_button_text')][normalize-space()='Book Online']'
2021-10-10 20:10:933 INFO  BookingDetails :56 - Verify its booking first available date[[ChromeDriver: chrome on WINDOWS (2fcd856c00c12aa7dc897c40cb304018)] -> xpath: //div[text() = '18']]
2021-10-10 20:10:979 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 20:10:320 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (c324bb058032ece1d9fcaf35f72562ee)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 20:10:520 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (c324bb058032ece1d9fcaf35f72562ee)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 20:10:111 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (c324bb058032ece1d9fcaf35f72562ee)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 20:10:241 INFO  BookingPage :34 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 20:10:842 INFO  BookingPage :45 - Clicking on Book Online ButtonProxy element for: DefaultElementLocator 'By.xpath: //button[@name='enterbookingflow']//div[contains(@class,'nbf_fancyimg_pms_add_button nbf_fg_pms_button_text nbf_bg_pms_button nbf_fg_pms_button_text')][normalize-space()='Book Online']'
2021-10-10 20:10:913 INFO  BookingDetails :59 - Verify its booking first available dateProxy element for: DefaultElementLocator 'By.xpath: (//div[contains(text(),'18')]'
2021-10-10 21:10:869 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 21:10:497 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 21:10:654 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 21:10:81 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 21:10:58 INFO  BookingPage :34 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 21:10:906 INFO  BookingPage :45 - Clicking on Book Online ButtonProxy element for: DefaultElementLocator 'By.xpath: //button[@name='enterbookingflow']//div[contains(@class,'nbf_fancyimg_pms_add_button nbf_fg_pms_button_text nbf_bg_pms_button nbf_fg_pms_button_text')][normalize-space()='Book Online']'
2021-10-10 21:10:955 INFO  BookingDetails :59 - Verify its booking first available date[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //div[normalize-space()='18']]
2021-10-10 21:10:24 INFO  BookingDetails :63 - Clicking on Continue Button[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //div[@class = 'nbf_button nbf_tpl_pms_button']]
2021-10-10 21:10:232 INFO  BookingDetails :68 - Selecting room from dropdown[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //select[@id = 'room-0-numselect']]
2021-10-10 21:10:252 INFO  BookingDetails :71 - Selecting room and continue[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //div[@class = 'nbf_fancy_nbf_tpl_pms_book_room nbf_fg_pms_button_text ']]
2021-10-10 21:10:746 INFO  BookingDetails :75 - Continue to the next stage[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //div[@id ='extrasButton']]
2021-10-10 21:10:727 INFO  BookingDetails :79 - Selecting title for Adult One[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //select[@id = 'pax-a-title-1']]
2021-10-10 21:10:922 INFO  BookingDetails :83 - Entering FirstName[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //input[@id = 'pax-a-first-1']]
2021-10-10 21:10:936 INFO  BookingDetails :84 - Entering lastName[[ChromeDriver: chrome on WINDOWS (4ef6313a7726f9211a77ffa7a3a97c32)] -> xpath: //input[@id = 'pax-a-last-1']]
2021-10-10 21:10:20 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 21:10:357 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 21:10:516 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 21:10:639 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 21:10:73 INFO  BookingPage :34 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 21:10:778 INFO  BookingPage :45 - Clicking on Book Online ButtonProxy element for: DefaultElementLocator 'By.xpath: //button[@name='enterbookingflow']//div[contains(@class,'nbf_fancyimg_pms_add_button nbf_fg_pms_button_text nbf_bg_pms_button nbf_fg_pms_button_text')][normalize-space()='Book Online']'
2021-10-10 21:10:827 INFO  BookingDetails :59 - Verify its booking first available date[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //div[normalize-space()='18']]
2021-10-10 21:10:894 INFO  BookingDetails :63 - Clicking on Continue Button[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //div[@class = 'nbf_button nbf_tpl_pms_button']]
2021-10-10 21:10:32 INFO  BookingDetails :68 - Selecting room from dropdown[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //select[@id = 'room-0-numselect']]
2021-10-10 21:10:53 INFO  BookingDetails :71 - Selecting room and continue[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //div[@class = 'nbf_fancy_nbf_tpl_pms_book_room nbf_fg_pms_button_text ']]
2021-10-10 21:10:501 INFO  BookingDetails :75 - Continue to the next stage[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //div[@id ='extrasButton']]
2021-10-10 21:10:97 INFO  BookingDetails :80 - Selecting title for Adult One[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //select[@id = 'pax-a-title-1']]
2021-10-10 21:10:271 INFO  BookingDetails :84 - Entering FirstName[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //input[@id = 'pax-a-first-1']]
2021-10-10 21:10:286 INFO  BookingDetails :85 - Entering lastName[[ChromeDriver: chrome on WINDOWS (352e8079a648ab9833b4084bc60907e8)] -> xpath: //input[@id = 'pax-a-last-1']]
2021-10-10 21:10:440 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 21:10:152 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 21:10:357 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 21:10:589 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 21:10:21 INFO  BookingPage :34 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 21:10:708 INFO  BookingPage :45 - Clicking on Book Online ButtonProxy element for: DefaultElementLocator 'By.xpath: //button[@name='enterbookingflow']//div[contains(@class,'nbf_fancyimg_pms_add_button nbf_fg_pms_button_text nbf_bg_pms_button nbf_fg_pms_button_text')][normalize-space()='Book Online']'
2021-10-10 21:10:767 INFO  BookingDetails :59 - Verify its booking first available date[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //div[normalize-space()='18']]
2021-10-10 21:10:837 INFO  BookingDetails :63 - Clicking on Continue Button[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //div[@class = 'nbf_button nbf_tpl_pms_button']]
2021-10-10 21:10:900 INFO  BookingDetails :68 - Selecting room from dropdown[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //select[@id = 'room-0-numselect']]
